Date,Australia,China,EUR,India,Israel,Malaysia,Mexico,New Zealand,Norway,Philippines,Poland,Qatar,Russia,Saudi Arabia,Singapore,South Africa,Switzerland,Thailand,U.K.,U.S.
1/4/16,0.520544,0.110659,0.785392,0.0108434,0.184175,0.166688,0.0415305,0.489286,0.0814092,0.0152951,0.183467,0.197988,0.00988175,0.19218,0.506341,0.0463689,0.721685,0.0199291,1.06444,0.720675
1/5/16,0.52263,0.111183,0.778943,0.0108934,0.184539,0.166924,0.0417897,0.489286,0.0812414,0.0153818,0.180887,0.19914,0.00950253,0.193298,0.508786,0.0458339,0.717691,0.020065,1.06331,0.724868
1/6/16,0.516299,0.110623,0.778616,0.0108644,0.183921,0.165885,0.0415589,0.485131,0.0809164,0.0154072,0.18021,0.19913,0.00950253,0.193289,0.50638,0.0458339,0.718581,0.0200136,1.06282,0.724833
1/7/16,0.508623,0.109555,0.785075,0.0107959,0.183483,0.163655,0.0409119,0.479945,0.0809563,0.015386,0.18021,0.198454,0.00950253,0.192633,0.503045,0.0448689,0.722156,0.0199001,1.05221,0.722373
1/8/16,0.510064,0.109636,0.784564,0.0108351,0.184184,0.165283,0.0402921,0.47893,0.081042,0.0153467,0.180759,0.198453,0.00950253,0.192631,0.503849,0.0452007,0.722946,0.0199356,1.0548,0.722368
1/11/16,0.503475,0.109605,0.785813,0.0108061,0.183692,0.164084,0.0402514,0.471286,0.0812039,0.0153496,0.180048,0.198276,0.00950253,0.19246,0.501929,0.0435147,0.724477,0.0198822,1.05141,0.721724
1/12/16,0.505011,0.110013,0.783998,0.0108164,0.183539,0.164285,0.0403928,0.474552,0.0813374,0.0153056,0.180113,0.198767,0.00944482,0.192937,0.502823,0.0435,0.723512,0.0199254,1.04417,0.723512
1/13/16,0.509646,0.110181,0.783781,0.0108417,0.183781,0.164899,0.0405966,0.475153,0.0819962,0.0153122,0.180855,0.19908,0.00948153,0.19324,0.505018,0.0439883,0.719256,0.019981,1.04292,0.72465
1/14/16,0.500386,0.109597,0.786537,0.0107617,0.183077,0.164365,0.0403111,0.467387,0.0818705,0.015215,0.180559,0.198367,0.00943582,0.192549,0.501847,0.0435762,0.720688,0.0198859,1.03861,0.722057
1/15/16,0.502188,0.109728,0.788842,0.0107186,0.183307,0.165113,0.0396896,0.468072,0.0820986,0.0151593,0.178857,0.198566,0.00944008,0.192741,0.50214,0.043384,0.719757,0.0199047,1.03733,0.72278
1/19/16,0.497925,0.110078,0.78712,0.0107197,0.183217,0.165016,0.0398058,0.467144,0.0818136,0.0151676,0.177006,0.198971,0.0092278,0.193135,0.503584,0.0435125,0.719721,0.0199602,1.03583,0.724255
